fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_return_last_bull_market,fund_return_last_bear_market
GFBLX,American Funds 2055 Target Date,American Funds 2055 Target Date Retirement Fund Class C,World Allocation,American Funds,0.1778,0.0911,0.0783,0.0785,0.1362,-0.1207
GFCUX,American Funds 2060 Target Date,American Funds 2060 Target Date Retirement Fund Class C,Large Growth,American Funds,0.3663,0.185,0.0783,0.0785,0.2879,-0.1901
GFDDX,Calvert Conservative Allocation,Calvert Conservative Allocation Fund Class A,,Calvert Research and Management,0.4172,0.0911,0.0783,0.0785,0.1776,-0.232
GFFDX,,American Beacon Continuous Capital Emerging Markets Fund C Class,,American Beacon,0.2972,0.0911,0.0783,0.0785,0.1936,-0.2195
GFFFX,American Funds 2065 Target Date,American Funds 2065 Target Date Retirement Fund Class C,Large Growth,American Funds,0.3665,0.2049,0.1738,0.1651,0.2436,-0.1892
GFGEX,Columbia Large Cap Growth Fund ,Conestoga Mid Cap Fund Institutional Class,,Conestoga Funds,0.2871,0.0911,0.0783,0.0785,0.1668,-0.159
GFIRX,,Conestoga Mid Cap Fund Investors Class,Systematic Trend,Conestoga Funds,0.1067,0.0507,0.0208,0.0785,-0.018,-0.159
GFIZX,Alternative Income Fund- Instit,CCM Alternative Income Fund Institutional Shares,Allocation--15% to 30% Equity,Community Capital Management,0.0898,0.0594,0.0467,0.0391,0.0669,-0.0415
GFRAX,Capital Group Core Municipal Fu,Capital Group Core Municipal Fund,Bank Loan,Capital Group,0.0894,0.0341,0.0327,0.0337,0.0661,-0.0342
GFRCX,Columbia California Intermediat,Columbia California Intermediate Muni Bond Fund Advisor Class,Bank Loan,Columbia Threadneedle,0.0815,0.0264,0.025,0.0261,0.0604,-0.0363
GFRIX,Cardinal Small Cap Value Fund I,Cardinal Small Cap Value Fund Institutional Class,Bank Loan,Cardinal Capital,0.0922,0.0368,0.0353,0.0365,0.0675,-0.0314
GFRRX,Columbia Commodity Strategy Fun,Columbia Commodity Strategy Fund Advisor Class,Bank Loan,Columbia Threadneedle,0.0858,0.0313,0.0301,0.0312,0.0633,-0.0332
GFRSX,Columbia Seligman Communication,Columbia Seligman Technology and Information Fund Institutional 3 Class,Bank Loan,Columbia Threadneedle,0.0918,0.0373,0.0783,0.0785,0.0671,-0.0319
GFSIX,,FS Chiron Capital Allocation Fund Class A Shares,Financial,Chiron Investment Management,0.6278,0.0911,0.0783,0.0785,0.1668,-0.159
GFSYX,,FS Chiron Capital Allocation Fund Class C Shares,Multistrategy,Chiron Investment Management,0.0437,0.0184,0.0783,0.0785,0.1668,-0.159
GFSZX,Calvert Mid-Cap Fund Class I,Calvert Mid-Cap Fund Class I,Multistrategy,Calvert Research and Management,0.0407,0.0153,0.0783,0.0785,0.1668,-0.159
GFVAX,Columbia Disciplined Core Fund ,Columbia Disciplined Core Fund Institutional 3 Class,Large Blend,Columbia Threadneedle,0.3971,0.1326,0.0783,0.0785,0.1668,-0.159
GFVCX,Columbia Small Cap Growth Fund ,Columbia Small Cap Growth Fund Class R,Large Blend,Columbia Threadneedle,0.387,0.1242,0.0783,0.0785,0.1668,-0.159
GFVIX,Credit Suisse Commodity Return ,Credit Suisse Trust Commodity Return Strategy Portfolio Class 2,Large Blend,"Credit Suisse (New York, NY)",0.4,0.1355,0.0783,0.0785,0.1668,-0.159
GFVRX,Credit Suisse Commodity Return ,Credit Suisse Trust Commodity Return Strategy Portfolio,Large Blend,"Credit Suisse (New York, NY)",0.3938,0.1298,0.0783,0.0785,0.1668,-0.159
GFVSX,Columbia Disciplined Core Fund ,Columbia Disciplined Core Fund Institutional Class,Large Blend,Columbia Threadneedle,0.4008,0.1364,0.0783,0.0785,0.1668,-0.159
GFVUX,Columbia Commodity Strategy Fd ,Columbia Commodity Strategy Fund Class A,Large Blend,Columbia Threadneedle,0.4017,0.1365,0.0783,0.0785,0.1668,-0.159
GGAIX,Columbia Commodity Strategy Fd ,Columbia Commodity Strategy Fund Class C,,Columbia Threadneedle,0.2882,0.1475,0.0995,0.099,0.2033,-0.193
GGBEX,Conestoga SMid Cap Fund Institu,Conestoga SMid Cap Fund Institutional Class,World Bond,Conestoga Capital Advisors,0.0374,0.0465,0.0417,0.0785,0.091,-0.0443
GGBFX,Conestoga SMid Cap Fund Investo,Conestoga SMid Cap Fund Investors Class,World Bond,Conestoga Capital Advisors,0.0322,0.0432,0.0386,0.0348,0.091,-0.0443
GGBPX,Columbia Commodity Strategy Fd ,Columbia Commodity Strategy Fund Class R,Corporate Bond,Columbia Threadneedle,0.0182,0.082,0.0783,0.0785,0.0628,0.0286
GGBZX,Capital Group California Short-,Capital Group California Short-Term Municipal Fund,World Large-Stock Blend,Capital Group,0.324,0.1253,0.109,0.105,0.2289,-0.2059
GGCAX,Columbia Commodity Strategy Fun,Columbia Commodity Strategy Fund Institutional Class,Large Growth,Columbia Threadneedle,0.3347,0.2454,0.1909,0.1732,0.2947,-0.1986
GGCCX,City National Rochdale Californ,City National Rochdale California Tax-Exempt Bond Fund Class N,Large Growth,City National Rochdale,0.3249,0.2362,0.1821,0.1644,0.2894,-0.2015
GGCIX,Columbia Connecticut Intermedia,Columbia Connecticut Intermediate Municipal Bond Fund Advisor Class,Large Growth,Columbia Threadneedle,0.3383,0.2486,0.194,0.1761,0.2964,-0.198
GGCPX,Columbia Small Cap Value Fund I,Columbia Small Cap Value Fund II Class R,Foreign Large Blend,Columbia Threadneedle,0.2737,0.0641,0.0783,0.0785,0.1319,-0.2355
GGCRX,Columbia Connecticut Intermedia,Columbia Connecticut Intermediate Municipal Bond Fund Institutional 3 Class,Large Growth,Columbia Threadneedle,0.3637,0.2396,0.1691,0.158,0.2773,-0.1698
GGDPX,"Principal Fds, Inc. - Governmen",Principal Government & High Quality Bond Fund Class C,Foreign Small/Mid Blend,Principal Funds,0.3733,0.0737,0.0783,0.0785,0.1427,-0.2181
GGEAX,Calvert Small Cap Fund Class A,Calvert Small-Cap Fund Class A,,Calvert Research and Management,0.3938,0.1534,0.1218,0.1022,0.2446,-0.2554
GGECX,Calamos Convertible Fd Cl C,Calamos Convertible Fund Class C,,Calamos,0.3849,0.1446,0.1132,0.0942,0.2385,-0.2581
GGEIX,Calamos Convertible Fund Class ,Calamos Convertible Fund Class A,,Calamos,0.3996,0.1575,0.126,0.1061,0.246,-0.2542
GGEPX,"Capital World Bond Fund, Class ",American Funds Capital World Bond Fund Class 529-A,Global Real Estate,American Funds,0.2463,0.0652,0.0783,0.0785,0.1976,-0.2422
GGESX,"Capital World Bond Fund, Class ",American Funds Capital World Bond Fund Class 529-C,,American Funds,0.3982,0.1566,0.125,0.0785,0.246,-0.2542
GGEYX,"Capital World Bond Fund, Class ",American Funds Capital World Bond Fund Class 529-E,Large Growth,American Funds,0.34,0.237,0.1833,0.171,0.294,-0.1582
GGEZX,"Capital World Bond Fund, Class ",American Funds Capital World Bond Fund Class 529-F,Large Growth,American Funds,0.3367,0.2338,0.1803,0.1681,0.2928,-0.1589
GGFPX,Chautauqua International Growth,Chautauqua International Growth Fund Institutional Class,Foreign Large Blend,Baird,0.2996,0.063,0.0783,0.0785,0.1445,-0.2635
GGFSX,Columbia Select Large Cap Growt,Columbia Select Large Cap Growth Fund Institutional 3 Class,Financial,Columbia Threadneedle,0.6244,0.0911,0.0783,0.0785,0.1668,-0.159
GGGCX,Chautauqua International Growth,Chautauqua International Growth Fund Investor Class,,Baird,0.3234,0.2141,0.1537,0.1348,0.2914,-0.2269
GGGPX,Columbia Strategic California M,Columbia Strategic California Municipal Income Fund Institutional 3 Class,Large Blend,Columbia Threadneedle,0.3927,0.1943,0.0783,0.0785,0.2905,-0.1672
GGHPX,Columbia Acorn International Ca,Columbia Acorn International Fund Institutional 3 Class,Foreign Large Value,Columbia Threadneedle,0.2234,0.0341,0.0783,0.0785,0.1056,-0.2205
GGHSX,Multi-Manager Directional Alter,Multi-Manager Directional Alternative Strategies Fund Institutional Class,Health,Columbia Threadneedle,0.216,0.154,0.0783,0.0785,0.199,-0.1383
GGHYX,American Century Diversified Bo,American Century Diversified Bond Fund C Class,Health,American Century Investments,0.215,0.1533,0.0717,0.1309,0.2006,-0.1375
GGIAX,The Community Development Fund ,The Community Development Fund Class A,Infrastructure,Community Development Fund,0.1277,0.0874,0.0783,0.0785,0.1668,-0.159
GGICX,Copeland Risk Managed Dividend ,Copeland Dividend Growth Fund Class C,Infrastructure,Copeland Funds,0.1199,0.0795,0.0783,0.0785,0.1668,-0.159
GGIDX,Columbia Dividend Income Fund C,Columbia Dividend Income Fund Institutional 2 Class,Infrastructure,Columbia Threadneedle,0.1324,0.0915,0.0783,0.0785,0.1668,-0.159
GGIEX,Columbia Dividend Income Fund C,Columbia Dividend Income Fund Institutional 3 Class,Infrastructure,Columbia Threadneedle,0.1252,0.0847,0.0783,0.0785,0.1668,-0.159
GGIFX,Columbia Large Cap Value Fund C,Columbia Large Cap Value Fund Institutional 3 Class,Short Government,Columbia Threadneedle,-0.0069,0.0259,0.0133,0.0138,0.0165,0.0242
GGIIX,Crawford Dividend Growth Fd Cl ,Crawford Large Cap Dividend Fund Class C,World Allocation,Crawford,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
GGINX,Crawford Dividend Growth Fd Cl ,Crawford Large Cap Dividend Fund Class I,Infrastructure,Crawford,0.1315,0.0903,0.0783,0.0785,0.1668,-0.159
GGIPX,Copeland Risk Managed Dividend ,Copeland Dividend Growth Fund Class A,Foreign Large Growth,Copeland Funds,0.1946,0.1475,0.0783,0.0785,0.1668,-0.159
GGIRX,Calvert International Responsib,Calvert International Responsible Index Fund Class A,Intermediate Government,Calvert Research and Management,0.0098,0.0444,0.0269,0.0297,0.0283,0.0266
GGISX,Calvert International Responsib,Calvert International Responsible Index Fund Class I,World Bond-USD Hedged,Calvert Research and Management,-0.0001,0.054,0.0339,0.0354,0.0291,0.0255
GGIUX,Calvert International Responsib,Calvert International Responsible Index Fund Class R6,Intermediate Government,Calvert Research and Management,0.0097,0.0451,0.0783,0.0785,0.0279,0.0264
GGIYX,Calvert Short Duration Income F,Calvert Short Duration Income Fund Class C,World Allocation,Calvert Research and Management,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
GGIZX,Columbia Dividend Income Fund C,Columbia Dividend Income Fund Class R,Allocation--30% to 50% Equity,Columbia Threadneedle,0.1559,0.0897,0.0716,0.0649,0.124,-0.0912
GGJPX,Risk Managed Dividend Growth Fu,Copeland Dividend Growth Fund Class I,Inflation-Protected Bond,Copeland Funds,0.0677,0.0721,0.0783,0.0785,0.0559,0.0598
GGKPX,,American Funds College 2039 Fund Class 529-A,Allocation--30% to 50% Equity,American Funds,0.1706,0.1041,0.0783,0.0785,0.1511,-0.0838
GGLCX,Columbia Limited Duration Credi,Columbia Limited Duration Credit Fund Advisor Class,Foreign Small/Mid Growth,Columbia Threadneedle,0.3083,0.0873,0.0745,0.0616,0.1905,-0.2289
GGLIX,Crawford Small Cap Dividend Fun,Crawford Small Cap Dividend Fund,Large Growth,Crawford,0.3399,0.2058,0.1576,0.1398,0.2388,-0.2008
GGLPX,Columbia Dividend Opportunity F,Columbia Dividend Opportunity Fund Advisor Class,High Yield Muni,Columbia Threadneedle,0.1108,0.0744,0.0783,0.0785,0.074,0.0924
GGMMX,Columbia Dividend Opportunity F,Columbia Dividend Opportunity Fund Institutional 3 Class,World Small/Mid Stock,Columbia Threadneedle,0.7641,0.0911,0.0783,0.0785,0.1668,-0.159
GGMPX,Columbia Dividend Opportunity F,Columbia Dividend Opportunity Fund Institutional Class,High Yield Bond,Columbia Threadneedle,0.1015,0.0673,0.0783,0.0785,0.1382,-0.0836
GGNPX,Calvert Short Duration Income F,Calvert Short Duration Income Fund Class I,Bank Loan,Calvert Research and Management,0.0918,0.0386,0.0783,0.0785,0.0671,-0.0319
GGOAX,Calvert Short Duration Income F,Calvert Short Duration Income Fund Class R6,Mid-Cap Growth,Calvert Research and Management,0.3298,0.2338,0.1529,0.1485,0.3277,-0.2328
GGOCX,Columbia Large Cap Value Fund C,Columbia Large Cap Value Fund Institutional Class,Mid-Cap Growth,Columbia Threadneedle,0.3191,0.2246,0.1442,0.1399,0.3218,-0.2352
GGOIX,American Funds Developing World,American Funds Developing World Growth and Income Fund Class 529-A,Mid-Cap Growth,American Funds,0.3344,0.2381,0.1569,0.1527,0.3306,-0.2312
GGOPX,American Funds Developing World,American Funds Developing World Growth and Income Fund Class 529-C,Ultrashort Bond,American Funds,0.0151,0.0153,0.0783,0.0785,0.0055,-0.0062
GGORX,American Funds Developing World,American Funds Developing World Growth and Income Fund Class 529-E,Mid-Cap Growth,American Funds,0.3271,0.2309,0.1501,0.1456,0.3253,-0.2334
GGOSX,American Funds Developing World,American Funds Developing World Growth and Income Fund Class 529-F-1,Mid-Cap Growth,American Funds,0.3287,0.2321,0.1512,0.147,0.3268,-0.233
GGOTX,"American Fds, Short-Term Bond F",American Funds Short-Term Bond Fund of America Class 529-E,Mid-Cap Growth,American Funds,0.3337,0.2371,0.1558,0.1514,0.3295,-0.2318
GGOUX,Columbia Acorn Fund Class Adv,Columbia Acorn Fund Advisor Class,Mid-Cap Growth,Columbia Threadneedle,0.3344,0.2382,0.0783,0.0785,0.3306,-0.2312
GGPCX,Columbia Emerging Markets Bond ,Columbia Emerging Markets Bond Fund Institutional 2 Class,,Columbia Threadneedle,0.3232,0.151,0.1202,0.0785,0.1668,-0.159
GGPPX,Columbia Emerging Markets Bond ,Columbia Emerging Markets Bond Fund Advisor Class,World Allocation,Columbia Threadneedle,0.2908,0.1229,0.0783,0.0785,0.1672,-0.1888
GGQPX,Columbia Emerging Markets Bond ,Columbia Emerging Markets Bond Fund Institutional 3 Class,Mid-Cap Growth,Columbia Threadneedle,0.3343,0.2381,0.0783,0.0785,0.3306,-0.2312
GGRAX,Columbia Large Cap Enhanced Cor,Columbia Large Cap Enhanced Core Fund Advisor Class,Large Growth,Columbia Threadneedle,0.3991,0.2463,0.1841,0.1734,0.2725,-0.157
GGRCX,Columbia Large Cap Enhanced Cor,Columbia Large Cap Enhanced Core Fund Institutional 3 Class,Large Growth,Columbia Threadneedle,0.3885,0.2365,0.1751,0.1646,0.266,-0.1587
GGRPX,Calvert Emerging Markets Advanc,Calvert Emerging Markets Advancement Fund Class A,Commodities Broad Basket,Calvert Research and Management,0.4751,-0.0288,0.0783,0.0785,0.137,-0.2276
GGRUX,Calvert Emerging Markets Advanc,Calvert Emerging Markets Advancement Fund Class I,Large Growth,Calvert Research and Management,0.4052,0.2515,0.0783,0.0785,0.2741,-0.1551
GGRYX,Columbia Emerging Markets Fund ,Columbia Emerging Markets Fund Institutional 2 Class,Allocation--70% to 85% Equity,Columbia Threadneedle,0.2485,0.1124,0.0783,0.0785,0.1814,-0.1545
GGSAX,Columbia Emerging Markets Fund ,Columbia Emerging Markets Fund Institutional 3 Class,World Allocation,Columbia Threadneedle,0.2854,0.1186,0.0963,0.0854,0.1641,-0.1894
GGSCX,Cullen Emerging Markets High Di,Cullen Emerging Markets High Dividend Fund Retail Class,World Allocation,Cullen Funds Trust,0.2763,0.1102,0.0882,0.0772,0.1595,-0.1924
GGSIX,Cullen Emerging Markets High Di,Cullen Emerging Markets High Dividend Fund Class I,World Allocation,Cullen Funds Trust,0.2901,0.1227,0.1006,0.0896,0.1672,-0.1888
GGSOX,Cullen Emerging Markets High Di,Cullen Emerging Markets High Dividend Fund Class C,World Small/Mid Stock,Cullen Funds Trust,0.4687,0.2217,0.0783,0.0785,0.1668,-0.159
GGSPX,Columbia Emerging Markets Fund ,Columbia Emerging Markets Fund Advisor Class,Tactical Allocation,Columbia Threadneedle,0.218,0.1043,0.0783,0.0785,0.1293,-0.1405
GGSRX,Causeway Emerging Markets Fund ,Causeway Emerging Markets Fund Class Institutional,World Allocation,Causeway,0.2823,0.1156,0.0935,0.0826,0.1621,-0.1906
GGSSX,Columbia Emerging Markets Fund ,Columbia Emerging Markets Fund Class R,World Allocation,Columbia Threadneedle,0.2845,0.1173,0.0951,0.0842,0.1625,-0.1892
GGSTX,Causeway Emerging Markets Fund ,Causeway Emerging Markets Fund Investor Class,World Allocation,Causeway,0.2886,0.1211,0.099,0.088,0.1658,-0.1885
GGSUX,American Funds College Enrollme,American Funds College Enrollment Fund Class 529-A,World Allocation,American Funds,0.2901,0.1227,0.0783,0.0785,0.1672,-0.1888
GGSYX,American Funds College Enrollme,American Funds College Enrollment Fund Class 529-C,World Small/Mid Stock,American Funds,0.4721,0.2246,0.0783,0.0785,0.1668,-0.159
GGTPX,American Funds College Enrollme,American Funds College Enrollment Fund Class 529-E,Intermediate Government,American Funds,-0.0127,0.0456,0.0783,0.0785,0.0432,0.0515
GGUIX,American Funds College Enrollme,American Funds College Enrollment Fund Class 529-F-1,Small Growth,American Funds,0.3785,0.2159,0.1392,0.0973,0.0859,-0.0902
GGUPX,Centerstone Investors Fund - Cl,Centerstone Investors Fund Class C,Global Real Estate,Centerstone Investors,0.314,0.0936,0.0783,0.0785,0.1668,-0.159
GGWPX,Centerstone Investors Fund - Cl,Centerstone Investors Fund Class I,Infrastructure,Centerstone Investors,0.1321,0.0916,0.0783,0.0785,0.1668,-0.159
GGXPX,Columbia Income Opportunities F,Columbia Income Opportunities Fund Institutional 2 Class,World Bond-USD Hedged,Columbia Threadneedle,0.0051,0.0596,0.0783,0.0785,0.0291,0.0255
GGYPX,Pioneer Core Equity Fund - Clas,Pioneer Core Equity Fund Class R,Large Blend,Amundi US,0.4017,0.1366,0.0783,0.0785,0.1668,-0.159
GGZPX,Coho Relative Value ESG Fund In,Coho Relative Value ESG Fund,Large Growth,Coho,0.3661,0.185,0.0783,0.0785,0.2879,-0.1901
GHAAX,Centerstone Investors Fund - Cl,Centerstone Investors Fund Class A,Natural Resources,Centerstone Investors,0.5122,0.0294,0.0241,-0.0317,0.1432,-0.2951
GHACX,"EuroPacific Growth Fund, Class ",American Funds EuroPacific Growth Fund Class 529-A,Natural Resources,American Funds,0.4998,0.0246,0.0177,-0.0385,0.1384,-0.2975
GHAIX,"EuroPacific Growth Fund, Class ",American Funds EuroPacific Growth Fund Class 529-C,Natural Resources,American Funds,0.5185,0.0338,0.0283,-0.0279,0.1461,-0.2941
GHAYX,"EuroPacific Growth Fund, Class ",American Funds EuroPacific Growth Fund Class 529-E,Natural Resources,American Funds,0.5159,0.0319,0.0266,-0.0294,0.145,-0.2945
GHIRX,"EuroPacific Growth Fund, Class ",American Funds EuroPacific Growth Fund Class 529-F-1,Ultrashort Bond,American Funds,0.0099,0.0219,0.0173,0.0117,0.0072,-0.0056
GHPLX,Columbia Global Equity Value Fu,Columbia Global Value Fund Institutional 3 Class,Long-Short Equity,Columbia Threadneedle,0.1091,0.0437,0.0783,0.0785,0.1668,-0.159
GHQIX,Columbia Global Equity Value Fu,Columbia Global Value Fund Institutional Class,Intermediate Core Bond,Columbia Threadneedle,-0.0103,0.0278,0.0783,0.0785,0.1668,-0.159
GHQPX,Calvert Equity Fund Class I,Calvert Equity Fund Class I,Intermediate Core Bond,Calvert Research and Management,-0.0131,0.0236,0.0783,0.0785,0.1668,-0.159
GHQRX,Calvert Equity Fund Class R6,Calvert Equity Fund Class R6,Intermediate Core Bond,Calvert Research and Management,-0.009,0.0911,0.0783,0.0785,0.1668,-0.159
GHQYX,"The Bond Fund of America, Clas",American Funds The Bond Fund of America Class 529-A,Intermediate Core Bond,American Funds,-0.0101,0.0272,0.0783,0.0785,0.1668,-0.159
GHSAX,"The Bond Fund of America, Clas",American Funds The Bond Fund of America Class 529-C,Tactical Allocation,American Funds,0.2876,0.0527,0.0783,0.0785,0.1668,-0.159
GHSCX,"The Bond Fund of America, Class",American Funds The Bond Fund of America Class 529-E,Tactical Allocation,American Funds,0.2788,0.0448,0.0783,0.0785,0.1668,-0.159
GHSIX,"The Bond Fund of America, Class",American Funds The Bond Fund of America Class 529-F,Tactical Allocation,American Funds,0.2909,0.0554,0.0624,0.0785,0.1668,-0.159
GHTMX,Commerce Funds Midcap Growth Fu,Commerce MidCap Growth Fund,Foreign Large Blend,Commerce,0.2738,0.0643,0.0702,0.067,0.1319,-0.2355
GHTRX,Calvert Conservative Allocation,Calvert Conservative Allocation Fund Class I,Foreign Large Blend,Calvert Research and Management,0.275,0.0641,0.0783,0.0785,0.1319,-0.2355
GHYAX,"American Fds, Short-Term Bond F",American Funds Short-Term Bond Fund of America Class 529-F-1,High Yield Muni,American Funds,0.1072,0.071,0.0682,0.0681,0.0723,0.091
GHYCX,Lord Abbett Climate Focused Bon,Lord Abbett Climate Focused Bond Fund Class A,High Yield Muni,Lord Abbett,0.099,0.063,0.0603,0.0601,0.0676,0.0876
GHYIX,Lord Abbett Climate Focused Bon,Lord Abbett Climate Focused Bond Fund Class C,High Yield Muni,Lord Abbett,0.1107,0.0742,0.0714,0.0712,0.074,0.0924
GHYMX,American Funds Corporate Bond F,American Funds Corporate Bond Fund Class F-3,High Yield Muni,American Funds,0.0859,0.0591,0.0783,0.0785,0.1668,-0.159
GHYSX,Commerce Funds The Bond Fund,Commerce Bond Fund,High Yield Muni,Commerce,0.1097,0.0739,0.0783,0.0785,0.074,0.0924
GHYYX,Lord Abbett Climate Focused Bon,Lord Abbett Climate Focused Bond Fund Class R4,High Yield Bond,Lord Abbett,0.1512,0.057,0.0514,0.0445,0.1172,-0.114
GIARX,Lord Abbett Climate Focused Bon,Lord Abbett Climate Focused Bond Fund Class R5,Short-Term Bond,Lord Abbett,0.0442,0.044,0.0432,0.0785,0.0297,-0.02
GIBAX,Lord Abbett Climate Focused Bon,Lord Abbett Climate Focused Bond Fund Class R6,Intermediate Core-Plus Bond,Lord Abbett,0.0325,0.0662,0.0519,0.0785,0.049,-0.159
GIBCX,Columbia Flexible Capital Incom,Columbia Flexible Capital Income Fund Advisor Class,Intermediate Core-Plus Bond,Columbia Threadneedle,0.0248,0.0584,0.0441,0.0785,0.0456,-0.159
GIBIX,Columbia Flexible Capital Incom,Columbia Flexible Capital Income Fund Institutional 3 Class,Intermediate Core-Plus Bond,Columbia Threadneedle,0.0354,0.0693,0.0552,0.0785,0.0511,-0.159
GIBLX,Adaptive Fundamental Growth Fun,Adaptive Fundamental Growth Fund A Class,Intermediate Core-Plus Bond,Cavalier,0.0325,0.0662,0.0521,0.0785,0.05,-0.159
GIBRX,Columbia Select Mid Cap Value F,Columbia Select Mid Cap Value Fund Advisor Class,Intermediate Core-Plus Bond,Columbia Threadneedle,0.0358,0.0694,0.0783,0.0785,0.0511,-0.159
GICAX,Adaptive Fundamental Growth Fun,Adaptive Fundamental Growth Fund C Class,Foreign Small/Mid Blend,Cavalier,0.368,0.0696,0.0856,0.0823,0.139,-0.2192
GICCX,Commerce Funds The Growth Fund,Commerce Growth Fund,Foreign Small/Mid Blend,Commerce,0.3578,0.0618,0.0775,0.0742,0.1347,-0.2212
GICIX,Columbia Flexible Capital Incom,Columbia Flexible Capital Income Fund Class A,Foreign Small/Mid Blend,Columbia Threadneedle,0.3729,0.0737,0.09,0.0865,0.1427,-0.2181
GICPX,Calvert Income Fund Class A,Calvert Income Fund Class A,,Calvert Research and Management,0.323,0.2182,0.16,0.1419,0.2966,-0.2243
GICUX,Columbia Flexible Capital Incom,Columbia Flexible Capital Income Fund Class C,Foreign Small/Mid Blend,Columbia Threadneedle,0.3739,0.0739,0.0783,0.0785,0.1427,-0.2181
GIDAX,Capital Income Builder - Class ,American Funds Capital Income Builder Class F-3,Foreign Large Value,American Funds,0.2198,0.0308,0.0363,0.0313,0.1037,-0.2218
GIDCX,Clipper Fund Inc.,Clipper Fund,Foreign Large Value,Clipper Fund,0.2097,0.0227,0.0283,0.0235,0.0986,-0.2244
GIDGX,QS Global Equity Fund Class A,Franklin Global Equity Fund A,World Large-Stock Blend,Franklin Templeton Investments,0.2847,0.0968,0.0834,0.0861,0.1872,-0.1694
GIDHX,Columbia Flexible Capital Incom,Columbia Flexible Capital Income Fund Class R,Foreign Large Value,Columbia Threadneedle,0.2237,0.034,0.04,0.0352,0.1056,-0.2205
GIDUX,Columbia Flexible Capital Incom,Columbia Flexible Capital Income Fund Institutional Class,Foreign Large Value,Columbia Threadneedle,0.2238,0.0342,0.0783,0.0785,0.1056,-0.2205
GIDWX,Calvert U.S. Large Cap Value Re,Calvert US Large Cap Value Responsible Index Fund Class A,Large Blend,Calvert Research and Management,0.3099,0.1397,0.0783,0.0785,0.2192,-0.1287
GIEAX,Calvert U.S. Large Cap Value Re,Calvert US Large Cap Value Responsible Index Fund Class I,Foreign Large Value,Calvert Research and Management,0.2449,0.0733,0.0621,0.0472,0.1158,-0.2187
GIEYX,Lord Abbett Climate Focused Bon,Lord Abbett Climate Focused Bond Fund Class F,Foreign Large Blend,Lord Abbett,0.2802,0.0712,0.0728,0.0587,0.1435,-0.2489
GIEZX,ClearBridge Tactical Dividend I,ClearBridge Tactical Dividend Income Fund Class A,Foreign Large Blend,Franklin Templeton Investments,0.2771,0.0683,0.0699,0.0559,0.1417,-0.2498
GIFAX,Lord Abbett Climate Focused Bon,Lord Abbett Climate Focused Bond Fund Class I,Bank Loan,Lord Abbett,0.0951,0.0303,0.0323,0.0785,0.0517,-0.159
GIFCX,Lord Abbett Climate Focused Bon,Lord Abbett Climate Focused Bond Fund Class F3,Bank Loan,Lord Abbett,0.087,0.0226,0.0246,0.0785,0.0487,-0.159
GIFFX,Lord Abbett Climate Focused Bon,Lord Abbett Climate Focused Bond Fund Class R3,Large Value,Lord Abbett,0.4927,0.0939,0.0972,0.0785,0.2322,-0.1972
GIFIX,Columbia Floating Rate Fund Cla,Columbia Floating Rate Fund Advisor Class,Bank Loan,Columbia Threadneedle,0.0976,0.0327,0.0348,0.0785,0.0532,-0.159
GIFMX,,Clarkston Founders Fund Founders Class,Systematic Trend,Clarkston Funds,0.1372,0.0798,0.0783,0.0785,0.1668,-0.159
GIFPX,Commerce Funds The Missouri Tax,Commerce Missouri Tax Free Intermediate Bond Fund,Bank Loan,Commerce,0.095,0.0303,0.0323,0.0785,0.0514,-0.159
GIFRX,"Fundamental Investors, Class 52",American Funds Fundamental Investors Class 529-A,Short-Term Bond,American Funds,0.0084,0.0371,0.021,0.0785,0.001,-0.159
GIFSX,"Fundamental Investors, Class 52",American Funds Fundamental Investors Class 529-C,Bank Loan,American Funds,0.0978,0.0911,0.0783,0.0785,0.0532,-0.159
GIGAX,Cargile Fund,Cargile Fund,Diversified Emerging Mkts,Cargile,0.2136,0.0923,0.069,0.0473,0.171,-0.1834
GIGCX,"Fundamental Investors, Class 52",American Funds Fundamental Investors Class 529-E,Diversified Emerging Mkts,American Funds,0.2064,0.0856,0.0619,0.0403,0.166,-0.1858
GIGGX,"Fundamental Investors, Class 52",American Funds Fundamental Investors Class 529-F-1,Intermediate Government,American Funds,0.0049,0.0365,0.0212,0.0201,0.0278,0.0346
GIGIX,Commerce Funds The National Tax,Commerce National Tax Free Intermediate Bond Fund,Diversified Emerging Mkts,Commerce,0.2175,0.0965,0.0729,0.0509,0.1725,-0.1822
GIGRX,California Tax-Free Income Fund,Green California Tax-Free Income Fund,Foreign Large Growth,Shelton Capital Management,0.2225,0.1222,0.0868,0.0642,0.1861,-0.2088
GIGSX,Calvert Floating-Rate Advantage,Calvert Floating-Rate Advantage Fund Class A,Diversified Emerging Mkts,Calvert Research and Management,0.2172,0.0959,0.0723,0.05,0.1714,-0.1819
GIGTX,Calvert Floating-Rate Advantage,Calvert Floating-Rate Advantage Fund Class I,Intermediate Government,Calvert Research and Management,0.0013,0.0334,0.0783,0.0785,0.0259,0.0325
