fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years
DEM,American Century International ,American Century International Value Fund R6 Class,Diversified Emerging Mkts,American Century Investments,0.3305,0.0726,0.1005,0.0139,0.6,8.71
DEMZ,AC Alternatives Market Neutral ,AC Alternatives Market Neutral Value Fund C Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
DEUS,American Century Small Cap Valu,American Century Small Cap Value Fund I Class,Mid-Cap Blend,American Century Investments,0.4038,0.133,0.1357,0.0542,0.77,11.46
DFAC,AC Alternatives Market Neutral ,AC Alternatives Market Neutral Value Fund I Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.9,13.51
DFAE,AC Alternatives Market Neutral ,AC Alternatives Market Neutral Value Fund A Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
DFAI,American Century International ,American Century International Value Fund R Class,Foreign Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
DFAS,American Century International ,American Century International Value Fund I Class,Small Value,American Century Investments,0.353,0.0864,0.08785,0.0542,0.68,10.49
DFAT,AC Alternatives Market Neutral ,AC Alternatives Market Neutral Value Fund Investor Class,Small Value,American Century Investments,0.353,0.0864,0.08785,0.0542,0.57,8.23
DFAU,AC Alternatives Market Neutral ,AC Alternatives Market Neutral Value Fund R Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
DFEB,AMG Managers LMCG Small Cap Gro,AMG GW&K Small/Mid Cap Growth Fund – N,,AMG Funds,0.1463,0.0864,0.08785,0.0542,0.6,9.4
DFEN,Cavanal Hill World Energy Fund ,Cavanal Hill World Energy Fund C,Trading--Leveraged Equity,Cavanal Hill funds,0.9861,-0.175,0.08785,0.0542,0.6,9.4
DFHY,AMG Managers LMCG Small Cap Gro,AMG GW&K Small/Mid Cap Growth Fund – I,High Yield Bond,AMG Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
DFND,MID CAP CORE EQUITY FUND - CLAS,Cavanal Hill Mid Cap Diverse Leadership Fund Class C,,Cavanal Hill funds,0.0713,0.1111,0.0988,0.0542,1.11,21.53
DFNL,Catalyst Multi-Strategy Fund Cl,Catalyst Multi-Strategy Fund Class A,Financial,Catalyst Mutual Funds,0.6437,0.1079,0.08785,0.0542,0.6,9.4
DFNV,Catalyst Multi-Strategy Fund Cl,Catalyst Multi-Strategy Fund Class I,Large Growth,Catalyst Mutual Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
DFUS,American Century California Hig,American Century California High Yield Municipal Fund Y Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,1.06,16.02
DGL,American Century California Int,American Century California Intermediate-Term Tax-Free Bond Fund Y Class,,American Century Investments,-0.0409,0.1013,0.0412,0.0006,0.29,35.5
DGP,AQR Diversified Arbitrage Fund ,AQR Diversified Arbitrage Fund Class I,Trading--Leveraged Commodities,AQR Funds,-0.1157,0.181,0.0549,-0.0219,0.32,30.22
DGRE,AQR Diversified Arbitrage Fund ,AQR Diversified Arbitrage Fund Class N,Diversified Emerging Mkts,AQR Funds,0.3538,0.0928,0.0941,0.0542,0.58,8.7
DGRO,Aberdeen Dynamic Dividend Fund ,Aberdeen Dynamic Dividend Fund Class A,Large Value,Aberdeen,0.3713,0.1653,0.1577,0.0542,1,15.41
DGRS,AMG Managers DoubleLine Core Pl,AMG Beutel Goodman Core Plus Bond Fund - Class N,,AMG Funds,0.6761,0.1257,0.1381,0.0542,0.67,10.5
DGRW,American Century Disciplined Gr,American Century Disciplined Growth Fund Class C,Large Blend,American Century Investments,0.3382,0.1598,0.161,0.0542,1.03,15.94
DGS,American Century Disciplined Gr,American Century Disciplined Growth Fund Institutional Class,Diversified Emerging Mkts,American Century Investments,0.4559,0.0896,0.1122,0.0394,0.63,9.17
DGZ,American Century Disciplined Gr,American Century Disciplined Growth Fund Class A,Trading--Inverse Commodities,American Century Investments,0.353,-0.1016,-0.0479,-0.0303,-0.42,69.33
DIA,American Century Disciplined Gr,American Century Disciplined Growth Fund Y Class,Large Value,American Century Investments,0.3622,0.1483,0.165,0.1333,0.99,15.43
DIAL,American Century Diversified Bo,American Century Diversified Bond Fund R6 Class,Multisector Bond,American Century Investments,0.0464,0.0745,0.08785,0.0542,0.6,9.4
DIG,Columbia Large Cap Value Fund C,Columbia Large Cap Value Fund Class C,Trading--Leveraged Equity,Columbia Threadneedle,0.9803,-0.2876,-0.1531,-0.1118,0.1,-4.76
DINT,Ancora Dividend Value Equity Fu,Ancora Dividend Value Equity Fund Class I,Foreign Large Blend,Ancora,0.279,0.0777,0.08785,0.0542,0.6,9.4
DIV,American Century Diversified Bo,American Century Diversified Bond Fund A Class,Mid-Cap Value,American Century Investments,0.4264,-0.0014,0.0207,0.0542,0.17,0.84
DIVA,American Century Diversified Bo,American Century Diversified Bond Fund Investor Class,Long-Short Equity,American Century Investments,0.1824,0.0357,0.0319,0.0542,0.26,4.19
DIVO,"AB Core Opportunities Fund, Inc",AB Core Opportunities Fund Class A,,AllianceBernstein,0.3336,0.1557,0.08785,0.0542,0.6,9.4
DIVZ,"AB Core Opportunities Fund, Inc",AB Core Opportunities Fund Class C,,AllianceBernstein,0.353,0.0864,0.08785,0.0542,0.6,9.4
DJAN,American Century Disciplined Gr,American Century Disciplined Growth Fund R5 Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
DJCB,"AB Core Opportunities Fund, Inc",AB Core Opportunities Fund Class I,,AllianceBernstein,0.5285,0.0864,0.08785,0.0542,0.6,9.4
DJD,"AB Core Opportunities Fund, Inc",AB Core Opportunities Fund Class K,Large Value,AllianceBernstein,0.3627,0.1309,0.1388,0.0542,0.88,13.98
DJP,"AB Core Opportunities Fund, Inc",AB Core Opportunities Fund Class R,Commodities Broad Basket,AllianceBernstein,0.5463,0.0376,0.0192,-0.0537,0.13,0.74
DJUL,"AB Core Opportunities Fund, Inc",AB Core Opportunities Fund Advisor Class,,AllianceBernstein,0.353,0.0864,0.08785,0.0542,0.6,9.4
DJUN,Aperture Discover Equity Fund I,Aperture Discover Equity Fund Institutional Shares,,Aperture Investors,0.0981,0.0864,0.08785,0.0542,0.6,9.4
DMAR,Azzad Ethical Fund,Azzad Ethical Fund,,Azzad Fund,0.353,0.0864,0.08785,0.0542,0.6,9.4
DMAY,AllianzGI Dividend Value Fund C,Virtus NFJ Dividend Value Fund Class P,,Virtus,0.0773,0.0864,0.08785,0.0542,0.6,9.4
DMCY,The Adirondack Small Cap Fund,Adirondack Small Cap Fund,,Adirondack Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
DMDV,AMG Managers DoubleLine Core Pl,AMG Beutel Goodman Core Plus Bond Fund - Class I,Foreign Large Value,AMG Funds,0.3203,0.0864,0.08785,0.0542,0.6,9.4
DMRE,Adler Value Fund Institutional ,Adler Value Fund Institutional Class,Diversified Emerging Mkts,Adler,0.3135,0.0864,0.08785,0.0542,0.6,9.4
DMRI,361 Domestic Long/Short Equity ,361 Domestic Long/Short Equity Fund Investor Class,Foreign Large Blend,361 Funds,0.2118,0.033,0.08785,0.0542,0.6,9.4
DMRL,361 Domestic Long/Short Equity ,361 Domestic Long/Short Equity Fund Class Y,Large Blend,361 Funds,0.2683,0.1147,0.08785,0.0542,0.6,9.4
DMRM,361 Domestic Long/Short Equity ,361 Domestic Long/Short Equity Fund Class I,Mid-Cap Blend,361 Funds,0.2399,0.0347,0.08785,0.0542,0.6,9.4
DMRS,American Beacon ARK Transformat,American Beacon ARK Transformational Innovation Fund Class A,Small Blend,American Beacon,0.2229,0.0116,0.08785,0.0542,0.6,9.4
DMXF,American Beacon ARK Transformat,American Beacon ARK Transformational Innovation Fund Class C,Foreign Large Blend,American Beacon,0.3422,0.0864,0.08785,0.0542,0.6,9.4
DNOV,American Beacon ARK Disruptive ,American Beacon ARK Transformational Innovation Fund R5 Class,,American Beacon,0.1241,0.0864,0.08785,0.0542,0.6,9.4
DOCT,American Beacon ARK Disruptive ,American Beacon ARK Transformational Innovation Fund Investor Class,,American Beacon,0.353,0.0864,0.08785,0.0542,0.6,9.4
DOG,American Beacon ARK Disruptive ,American Beacon ARK Transformational Innovation Fund Y Class,Trading--Inverse Equity,American Beacon,-0.2878,-0.1654,-0.1639,-0.142,-1.26,19.63
DPST,ACM Dynamic Opportunity Fund - ,ACM Dynamic Opportunity Fund Class A,Trading--Leveraged Equity,ACM,2.5477,-0.3332,-0.0232,0.0542,0.46,-1.05
DRIP,Alger Dynamic Opportunities Fun,Alger Dynamic Opportunities Fund Class C,Trading--Inverse Equity,Alger,-0.8683,-0.7097,-0.6618,0.0542,-0.27,20.37
DRIV,ACM Dynamic Opportunity Fund - ,ACM Dynamic Opportunity Fund Class I,Miscellaneous Sector,ACM,0.9512,0.2693,0.08785,0.0542,0.6,9.4
DRN,"The Alger Fds II, Alger Dynamic",Alger Dynamic Opportunities Fund Class Z,Trading--Leveraged Equity,Alger,1.1577,0.022,-0.0171,0.1069,0.26,-1.19
DRSK,"Sanford C. Bernstein Fund, Inc.",AB Short Duration Portfolio Class A,,AllianceBernstein,0.0408,0.0864,0.08785,0.0542,0.6,9.4
DRV,"Sanford C. Bernstein Fund, Inc.",AB Short Duration Portfolio Class C,Trading--Inverse Equity,AllianceBernstein,-0.6666,-0.5176,-0.3826,-0.4185,-1.02,22.16
DRW,American Century Disciplined Gr,American Century Disciplined Growth Fund Class R,Global Real Estate,American Century Investments,0.1793,0.0049,0.0552,0.0461,0.34,4.44
DSEP,American Century Diversified Bo,American Century Diversified Bond Fund R5 Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
DSJA,American Century Disciplined Gr,American Century Disciplined Growth Fund Investor Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
DSOC,Aperture Discover Equity Fund C,Aperture Discover Equity Fund Class X Shares,Large Blend,Aperture Investors,0.353,0.0864,0.08785,0.0542,0.6,9.4
DSPC,Aberdeen Dynamic Dividend Fund ,Aberdeen Dynamic Dividend Fund Institutional Class,,Aberdeen,0.353,0.0864,0.08785,0.0542,0.6,9.4
DSTL,North Square Advisory Research ,North Square Advisory Research All Cap Value Fund I,Large Blend,North Square,0.3922,0.0864,0.08785,0.0542,0.6,9.4
DSTX,Vaughan Nelson International Sm,Vaughan Nelson International Small Cap Fund Investor Class,,Vaughan Nelson,0.353,0.0864,0.08785,0.0542,0.6,9.4
DTEC,Vaughan Nelson Emerging Markets,Vaughan Nelson Emerging Markets Opportunities Fund Investor Class,Technology,Vaughan Nelson,0.4097,0.2099,0.08785,0.0542,0.6,9.4
DUDE,Vaughan Nelson International Sm,Vaughan Nelson International Small Cap Fund Class I,Tactical Allocation,Vaughan Nelson,0.353,0.0864,0.08785,0.0542,0.6,9.4
DUG,Vaughan Nelson Emerging Markets,Vaughan Nelson Emerging Markets Opportunities Fund Institutional Class,Trading--Inverse Equity,Vaughan Nelson,-0.7178,-0.2715,-0.2452,-0.2025,-0.17,8.01
DURA,North Square Strategic Income F,North Square Strategic Income Fund I,Large Value,North Square,0.2453,0.0864,0.08785,0.0542,0.6,9.4
DUSA,American Century Diversified Bo,American Century Diversified Bond Fund R Class,Large Blend,American Century Investments,0.5235,0.1511,0.08785,0.0542,0.6,9.4
DUSL,American Century Diversified Bo,American Century Diversified Bond Fund Y Class,Trading--Leveraged Equity,American Century Investments,2.0401,0.1435,0.08785,0.0542,0.6,9.4
DUST,AllianzGI Global Dynamic Alloca,Virtus AllianzGI Global Dynamic Allocation Fund Class R6,Trading--Inverse Equity,Virtus,-0.2296,-0.681,-0.5422,-0.5142,-0.53,591.87
DVLU,AMG Managers DoubleLine Core Pl,AMG Beutel Goodman Core Plus Bond Fund - Class Z,Mid-Cap Value,AMG Funds,0.702,0.0864,0.08785,0.0542,0.6,9.4
DVOL,Emerging Markets Small Cap Fund,American Century Emerging Markets Small Cap Fund C Class,Large Blend,American Century Investments,0.3338,0.0864,0.08785,0.0542,0.6,9.4
DVY,Emerging Markets Small Cap Fund,American Century Emerging Markets Small Cap Fund A Class,,American Century Investments,0.5246,0.1119,0.1146,0.1205,0.68,10.66
DVYA,Emerging Markets Small Cap Fund,American Century Emerging Markets Small Cap Fund R Class,Pacific/Asia ex-Japan Stk,American Century Investments,0.2779,0.0182,0.0396,0.0542,0.25,2.64
DVYE,American Century Emerging Marke,American Century Emerging Markets Small Cap Fund I Class,Diversified Emerging Mkts,American Century Investments,0.326,0.0646,0.0917,0.0542,0.54,7.78
DWAS,Emerging Markets Small Cap Fund,American Century Emerging Markets Small Cap Fund R6 Class,Small Growth,American Century Investments,0.6805,0.1864,0.2079,0.0542,0.92,16.25
DWAT,Emerging Markets Small Cap Fund,American Century Emerging Markets Small Cap Fund Investor Class,Tactical Allocation,American Century Investments,0.3064,0.0592,0.0714,0.0542,0.5,4.46
DWAW,Invesco European Growth Fund Cl,Invesco European Growth Fund Class A,,Invesco,0.518,0.0864,0.08785,0.0542,0.6,9.4
DWCR,Invesco European Growth Fund Cl,Invesco European Growth Fund Class C,Foreign Large Blend,Invesco,0.4432,0.0988,0.08785,0.0542,0.6,9.4
DWEQ,Water Island Diversified Event-,Water Island Event-Driven Fund ClassR,,Arbitrage Fund,0.5297,0.0864,0.08785,0.0542,0.6,9.4
DWLD,Emerging Markets Debt Fund - G ,American Century Emerging Markets Debt Fund G CLASS,,American Century Investments,0.4521,0.1152,0.08785,0.0542,0.6,9.4
DWMC,Emerging Markets Debt Fund - ,American Century Emerging Markets Debt Fund C Class,Small Growth,American Century Investments,0.8136,0.0864,0.08785,0.0542,0.6,9.4
DWPP,American Century Emerging Marke,American Century Emerging Markets Debt Fund R5 Class,Large Blend,American Century Investments,0.2799,0.0456,0.0778,0.0542,0.5,7.49
DWSH,American Century Emerging Marke,American Century Emerging Markets Fund R6 Class,Trading--Inverse Equity,American Century Investments,-0.5589,0.0864,0.08785,0.0542,0.6,9.4
DWUS,Water Island Diversified Event-,Water Island Event-Driven Fund Class I,,Arbitrage Fund,0.4863,0.0864,0.08785,0.0542,0.6,9.4
DWX,Emerging Markets Debt Fund - A,American Century Emerging Markets Debt Fund A Class,Foreign Large Value,American Century Investments,0.234,0.053,0.0699,0.0112,0.51,7.18
DXD,Invesco European Growth Fund Cl,Invesco European Growth Fund Class R,Trading--Inverse Equity,Invesco,-0.5011,-0.3458,-0.33,-0.2843,-1.34,20.58
DXGE,Emerging Markets Debt Fund - I,American Century Emerging Markets Debt Fund Investor Class,Miscellaneous Region,American Century Investments,0.3158,0.0896,0.1088,0.0542,0.6,9.11
DXJS,Emerging Markets Debt Fund - R,American Century Emerging Markets Debt Fund R Class,Japan Stock,American Century Investments,0.2136,0.021,0.1116,0.0542,0.69,15.29
DYHG,Invesco European Growth Fund Cl,Invesco European Growth Fund Class Y,Long-Short Equity,Invesco,0.1873,0.0864,0.08785,0.0542,0.6,9.4
DYNF,AB Global Real Estate Investmen,AB Global Real Estate Investment Fund Class I,,AllianceBernstein,0.5461,0.0864,0.08785,0.0542,0.6,9.4
DZZ,Water Island Diversified Event-,Water Island Event-Driven Fund Class C,Trading--Inverse Commodities,Arbitrage Fund,-0.1623,-0.2151,-0.1128,-0.0843,-0.38,72.02
EAGG,American Funds EuroPacific Grow,American Funds EuroPacific Growth Fund Class F-1,,American Funds,-0.0082,0.0864,0.08785,0.0542,0.6,9.4
EAOA,American Century Emerging Marke,American Century Emerging Markets Fund R5 Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
EAOK,Invesco European Growth Fund Cl,Invesco European Growth Fund Class R6,,Invesco,0.353,0.0864,0.08785,0.0542,0.6,9.4
EAOM,American Century Emerging Marke,American Century Emerging Markets Debt Fund I Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
EAOR,Equity Income Fund Class G,American Century Equity Income Fund G Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
EAPR,American Century Equity Income ,American Century Equity Income Fund R5 Class,Diversified Emerging Mkts,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
EASG,American Century Equity Income ,American Century Equity Income Fund Y Class,Foreign Large Blend,American Century Investments,0.2941,0.0864,0.08785,0.0542,0.6,9.4
EATZ,Aberdeen Focused U.S. Equity Fu,Aberdeen U.S. Sustainable Leaders Smaller Companies Fund Institutional Service Class,Consumer Cyclical,Aberdeen,0.353,0.0864,0.08785,0.0542,0.6,9.4
EBIZ,Acadian Emerging Markets Portfo,Acadian Emerging Markets Portfolio Investor Class,,Acadian Funds,0.5661,0.0864,0.08785,0.0542,0.6,9.4
EBLU,American Century Emerging Marke,American Century Emerging Markets Fund A Class,Natural Resources,American Century Investments,0.4443,0.1928,0.08785,0.0542,0.6,9.4
EBND,AllianzGI Emerging Markets Oppo,Virtus AllianzGI Emerging Markets Opportunities Fund R6,Emerging-Markets Local-Currency Bond,Virtus,0.0454,0.0371,0.023,0.0055,0.18,1.41
ECLN,AllianzGI Emerging Markets Oppo,Virtus AllianzGI Emerging Markets Opportunities Fund Class P,Utilities,Virtus,0.2072,0.0864,0.08785,0.0542,0.6,9.4
ECON,American Century Emerging Marke,American Century Emerging Markets Fund R Class,Diversified Emerging Mkts,American Century Investments,0.2438,0.0618,0.049,0.0234,0.33,4.59
ECOW,"Aberdeen Emerging Markets Fund,",Aberdeen Emerging Markets Fund Institutional Service Class,Diversified Emerging Mkts,Aberdeen,0.3849,0.0864,0.08785,0.0542,0.6,9.4
ECOZ,Acadian Emerging Markets Portfo,Acadian Emerging Markets Portfolio Class Y,Large Growth,Acadian Funds,0.4237,0.0864,0.08785,0.0542,0.6,9.4
EDC,Acadian Emerging Markets Portfo,Acadian Emerging Markets Portfolio Class I,Trading--Leveraged Equity,Acadian Funds,1.4138,0.0665,0.1658,-0.079,0.56,6.22
EDIV,American Funds EuroPacific Grow,American Funds EuroPacific Growth Fund Class C,Diversified Emerging Mkts,American Funds,0.2508,0.0309,0.0613,-0.0177,0.38,5.21
EDOC,"EuroPacific Growth Fund, Class ",American Funds EuroPacific Growth Fund Class F-2,Health,American Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
EDOG,American Funds EuroPacific Grow,American Funds EuroPacific Growth Fund Class A,Diversified Emerging Mkts,American Funds,0.401,0.0939,0.0654,0.0542,0.38,4.76
EDOW,AllianzGl Emerging Markets Cons,Virtus AllianzGI Emerging Markets Consumer Fund Institutional Class,Large Value,Virtus,0.3377,0.1416,0.08785,0.0542,0.6,9.4
EDUT,American Century Equity Income ,American Century Equity Income Fund R6 Class,,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
EDV,American Century Equity Income ,American Century Equity Income Fund R Class,Long Government,American Century Investments,-0.1398,0.0959,0.035,0.0992,0.23,0.55
EDZ,Emerging Markets Debt Fund - R,American Century Emerging Markets Debt Fund R6 Class,Trading--Inverse Equity,American Century Investments,-0.7106,-0.4675,-0.4502,-0.3319,-1.18,24.18
EEH,American Century Equity Growth ,American Century Equity Growth Fund C Class,Large Blend,American Century Investments,0.3446,0.1406,0.1338,0.1266,0.92,14.28
EELV,American Century Emerging Marke,American Century Emerging Markets Debt Fund Y Class,Diversified Emerging Mkts,American Century Investments,0.2821,0.0433,0.0548,0.0542,0.39,5.43
EEMA,American Century Equity Growth ,American Century Equity Growth Fund R5 Class,Pacific/Asia ex-Japan Stk,American Century Investments,0.3997,0.12,0.1403,0.0542,0.86,14.15
EEMD,American Century Equity Income ,American Century Equity Income Fund C Class,Diversified Emerging Mkts,American Century Investments,0.3484,0.0498,0.08785,0.0542,0.6,9.4
EEMO,American Century Emerging Marke,American Century Emerging Markets Fund Y Class,Diversified Emerging Mkts,American Century Investments,0.4555,0.0864,0.11,0.0542,0.59,9.53
EEMV,American Century Equity Growth ,American Century Equity Growth Fund R Class,Diversified Emerging Mkts,American Century Investments,0.2635,0.0618,0.0709,0.0542,0.55,8.17
EEMX,Yorktown Capital Income Fund In,Yorktown Capital Appreciation Fund Class Institutional,Diversified Emerging Mkts,Yorktown Funds,0.3956,0.1199,0.08785,0.0542,0.6,9.4
EES,Applied Finance Core Fund Inves,Applied Finance Core Fund Investor Class,Small Blend,Applied Finance Advisors,0.761,0.1008,0.1495,0.12,0.64,9.66
EET,AMG River Road Focused Absolute,AMG River Road Focused Absolute Value Fund Class I,Trading--Leveraged Equity,AMG Funds,0.8768,0.1216,0.172,0.0014,0.61,9.66
EEV,Applied Finance Core Fund Insti,Applied Finance Core Fund Institutional Class,Trading--Inverse Equity,Applied Finance Advisors,-0.554,-0.3136,-0.306,-0.2041,-1.11,23.11
EFAD,Access Flex Bear High Yield Fun,Access Flex Bear High Yield ProFund Investor Class,Foreign Large Growth,ProFunds,0.2593,0.0844,0.0769,0.0542,0.53,7.66
EFAS,Access Flex Bear High Yield Fun,Access Flex Bear High Yield ProFund Service Class,Foreign Large Value,ProFunds,0.3747,0.034,0.08785,0.0542,0.6,9.4
EFAV,Focused International Growth Fu,American Century Focused International Growth Fund G Class,Foreign Large Blend,American Century Investments,0.1625,0.0495,0.0581,0.0542,0.49,7.28
EFAX,Focused International Growth Fu,American Century Focused International Growth Fund C Class,Foreign Large Blend,American Century Investments,0.3153,0.0912,0.08785,0.0542,0.6,9.4
EFIV,Focused International Growth Fu,American Century Focused International Growth Fund A Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
EFIX,Focused International Growth Fu,American Century Focused International Growth Fund R6 Class,Emerging Markets Bond,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
EFO,Focused International Growth Fu,American Century Focused International Growth Fund Investor Class,Trading--Leveraged Equity,American Century Investments,0.6812,0.0877,0.1393,0.054,0.55,7.48
EFU,American Century Focused Intern,American Century Focused International Growth Fund I Class,Trading--Inverse Equity,American Century Investments,-0.475,-0.2382,-0.2348,-0.1932,-0.93,16.54
EFZ,Focused International Growth Fu,American Century Focused International Growth Fund R Class,Trading--Inverse Equity,American Century Investments,-0.2685,-0.1057,-0.1106,-0.0868,-0.88,15.64
EGIS,American Century Sustainable Eq,American Century Sustainable Equity Fund A Class,Large Blend,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
EGPT,American Century Sustainable Eq,American Century Sustainable Equity Fund C Class,Miscellaneous Region,American Century Investments,0.0937,-0.0954,-0.054,-0.063,-0.1,-6.74
EINC,Yorktown Capital Income Fund Cl,Yorktown Capital Appreciation Fund Class L,Energy Limited Partnership,Yorktown Funds,0.5547,0.0226,0.0301,0.0542,0.23,1.08
EJAN,American Century Sustainable Eq,American Century Sustainable Equity Fund R5 Class,Diversified Emerging Mkts,American Century Investments,0.2132,0.0864,0.08785,0.0542,0.6,9.4
EJUL,American Century Sustainable Eq,American Century Sustainable Equity Fund Investor Class,,American Century Investments,0.0828,0.0864,0.08785,0.0542,0.6,9.4
EKAR,American Century Sustainable Eq,American Century Sustainable Equity Fund R Class,Technology,American Century Investments,0.8558,0.2108,0.08785,0.0542,0.6,9.4
ELD,Applied Finance Explorer fund I,Applied Finance Explorer Fund Investor Shares,Emerging-Markets Local-Currency Bond,Applied Finance Advisors,0.0866,0.0392,0.0268,-0.0012,0.19,1.76
EMAG,Applied Finance Explorer Fund I,Applied Finance Explorer Fund Institutional Shares,Emerging Markets Bond,Applied Finance Advisors,0.0747,0.0609,0.0446,0.0273,0.39,2.93
EMBD,Sustainable Equity Fund Class R,American Century Sustainable Equity Fund R6 Class,Emerging Markets Bond,American Century Investments,0.0904,0.0864,0.08785,0.0542,0.6,9.4
EMBH,Sustainable Equity Fund Class G,American Century Sustainable Equity Fund G Class,Emerging Markets Bond,American Century Investments,0.1287,0.0209,0.0362,0.0542,0.27,22.05
EMCB,American Century Sustainable Eq,American Century Sustainable Equity Fund I Class,Emerging Markets Bond,American Century Investments,0.0968,0.0756,0.061,0.0542,0.65,5.6
EMDV,Yorktown Multi-Asset Income Fun,Yorktown Multi-Sector Bond Fund Class C,Diversified Emerging Mkts,Yorktown Funds,0.3089,0.0574,0.0778,0.0542,0.48,6.82
EMFM,Yorktown Multi-Asset Income Fun,Yorktown Multi-Sector Bond Fund Class L,Diversified Emerging Mkts,Yorktown Funds,0.2614,0.0131,0.0296,0.0542,0.21,2.1
EMHC,American Funds Mortgage Fund - ,American Funds Mortgage Fund Class F-3,Emerging Markets Bond,American Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
EMIF,AllianzGI Focused Growth Fund C,Virtus AllianzGI Focused Growth Fund R6,Diversified Emerging Mkts,Virtus,0.1852,-0.0143,-0.0101,-0.0072,-0.02,-2.01
EMLC,Yorktown Growth Fund Class A,Yorktown Growth Fund Class A,Emerging-Markets Local-Currency Bond,Yorktown Funds,0.072,0.0329,0.0203,-0.0019,0.14,1.22
EMLP,Alger Global Focus Fund Class I,Alger Global Focus Fund Class I,Energy Limited Partnership,Alger,0.277,0.0621,0.0406,0.0542,0.26,3.25
EMNT,Alger International Focus Fund ,Alger International Focus Fund Class B,Ultrashort Bond,Alger,0.01,0.0864,0.08785,0.0542,0.6,9.4
EMSG,Alger Global Focus Fund Class Z,Alger Global Focus Fund Class Z,Diversified Emerging Mkts,Alger,0.419,0.0864,0.08785,0.0542,0.6,9.4
EMSH,"Fundamental Investors, Class C ",American Funds Fundamental Investors Class C,Emerging Markets Bond,American Funds,0.0472,0.0276,0.0233,0.0542,0.3,3.56
EMTL,"Fundamental Investors, Class F0",American Funds Fundamental Investors Class F-1,Emerging Markets Bond,American Funds,0.0711,0.0557,0.0505,0.0542,0.54,4.8
EMTY,AllianzGI International Value F,Virtus NFJ International Value Fund Class A,Trading--Inverse Equity,Virtus,-0.497,-0.2,0.08785,0.0542,0.6,9.4
EMXC,AllianzGI International Value F,Virtus NFJ International Value Fund Class C,Diversified Emerging Mkts,Virtus,0.4776,0.1134,0.08785,0.0542,0.6,9.4
EMXF,Angel Oak Financials Income Fun,Angel Oak Financials Income Fund Class C,,Angel Oak,0.353,0.0864,0.08785,0.0542,0.6,9.4
ENFR,Anfield Universal Fixed Income ,Anfield Universal Fixed Income Fund Class A,Energy Limited Partnership,Anfield,0.5545,0.0299,0.0377,0.0542,0.25,1.5
ENTR,Anfield Universal Fixed Income ,Anfield Universal Fixed Income Fund Class I,,Anfield,0.2377,0.1475,0.08785,0.0542,0.6,9.4
ENZL,Anfield Universal Fixed Income ,Anfield Universal Fixed Income Fund Class C,Miscellaneous Region,Anfield,0.0936,0.1085,0.1082,0.1097,0.62,10.95
EOPS,American Balanced Fund - Class ,American Funds American Balanced Fund Class F-3,,American Funds,0.353,0.0864,0.08785,0.0542,0.6,9.4
EPI,Acuitas US Microcap Fund - Inst,Acuitas US Microcap Fund Institutional Shares,India Equity,Acuitas Investments,0.7046,0.1156,0.1202,0.0459,0.57,9.72
EPRF,American Mutual Fund - Class F-,American Funds American Mutual Fund Class F-3,,American Funds,0.0587,0.0592,0.08785,0.0542,0.6,9.4
EPS,Yorktown Short Term Bond Fund C,Yorktown Short Term Bond Fund Class L,Large Blend,Yorktown Funds,0.4185,0.1694,0.17,0.1398,1,15.19
EPV,AAM/Bahl & Gaynor Income Growth,AAM/Bahl & Gaynor Income Growth Fund Class A,Trading--Inverse Equity,AAM,-0.5193,-0.2723,-0.2637,-0.232,-0.92,16.76
EQAL,AAM/Bahl & Gaynor Income Growth,AAM/Bahl & Gaynor Income Growth Fund Class I,Mid-Cap Blend,AAM,0.5146,0.1497,0.1457,0.0542,0.76,11.21
EQL,Archer Focus Fund,Archer Focus Fund,Large Blend,Archer,0.4025,0.1546,0.1432,0.1276,0.9,13.59
